,index,merchant_id,listedproducts,totalunitssold,meanunitssoldperproduct,rating,merchantratingscount,meanproductprices,meanretailprices,averagediscount,meandiscount,meanproductratingscount,totalurgencycount,urgencytextrate,date,sales,merchant_name
205,205,56c3c5d830d9795c3bad3124,1,10000,10000.0,4.148,14502.0,13.0,11.0,-18.0,-18.0,2901.0,1.0,100.0,2021-12-08,3592,teamwolf
206,206,59b88527b77173631729908e,1,10000,10000.0,4.149,21412.0,4.0,4.0,0.0,0.0,1412.0,1.0,100.0,2021-10-05,404,008fashion
207,207,56e6928521790d587623b3b4,1,10000,10000.0,4.151,27055.0,5.0,5.0,0.0,0.0,3208.0,1.0,100.0,2020-09-17,1294,brittany
208,208,57973560cb38dd77d126e9f1,1,10000,10000.0,4.152,120781.0,11.0,16.0,32.0,32.0,1586.0,,,2020-04-20,8,vrshopping
209,209,5acc6cc0c3911a32ad141f60,1,10000,10000.0,4.162,8727.0,7.0,9.0,23.0,23.0,1838.0,1.0,100.0,2021-04-26,2787,yangboyang
210,210,5961d4e6905fdb5a6f505cd3,1,10000,10000.0,4.181,11148.0,8.0,7.0,-14.0,-14.0,1473.0,,,2021-07-02,9297,zhangj
211,211,59dc769133a48743534ac5c7,1,10000,10000.0,4.181,2975.0,11.0,11.0,0.0,0.0,1520.0,,,2021-10-25,142,modelup
212,212,586dff6c16e4106b5e5feb58,1,10000,10000.0,4.183,28159.0,6.0,76.0,93.0,93.0,1741.0,,,2020-05-20,3057,weshamazoon
213,213,5ae5c3cb4215954239aff8b9,1,10000,10000.0,4.188,2359.0,6.0,10.0,40.0,40.0,1496.0,1.0,100.0,2020-01-06,4915,wwenliping
214,214,57d904168172661fe3b3256a,1,10000,10000.0,4.192,2888.0,9.0,59.0,85.0,85.0,1721.0,,,2020-02-01,2575,manystone91
215,215,58ffff331a1cef16a78c78f4,1,10000,10000.0,4.203,22173.0,13.0,84.0,85.0,85.0,2328.0,1.0,100.0,2021-03-29,2792,treasureland
216,216,598040ea0ec30f7f43a3cc35,1,10000,10000.0,4.209,4295.0,9.0,8.0,-12.0,-12.0,3024.0,1.0,100.0,2020-07-04,8344,yuzk
217,217,56e628924bd2915857b4ffdf,1,10000,10000.0,4.224,16064.0,14.0,12.0,-16.0,-16.0,3574.0,,,2021-12-21,892,dakaring
218,218,56f0f2bdc3c3715871ade946,1,10000,10000.0,4.228,30292.0,8.0,25.0,68.0,68.0,2324.0,,,2020-02-09,3597,brendabear
219,219,5d52278327752b029793c927,1,10000,10000.0,4.238,783.0,1.77,2.0,12.0,12.0,510.0,,,2020-01-31,4340,happykidsshop
220,220,5b43232f86152a07d4ffc58c,1,10000,10000.0,4.241,4907.0,8.0,11.0,28.0,28.0,1715.0,,,2021-08-10,7058,yanxiahome
221,221,5b8a5636af279f1699366496,1,10000,10000.0,4.251,3309.0,18.0,17.0,-5.0,-5.0,3229.0,,,2021-12-03,3765,maozhuocai
222,222,551c02310570552bbd036dbb,1,10000,10000.0,4.259,20169.0,8.0,11.0,28.0,28.0,3345.0,1.0,100.0,2021-06-15,5853,womenwardrobeappareltradecoltd
223,223,5ad31267ea8764621df718c0,1,10000,10000.0,4.28,11596.0,6.0,31.0,81.0,81.0,2789.0,,,2021-12-15,3890,tianjianyingfeng
224,224,58b81d56e3f66d59b36812ac,1,10000,10000.0,4.293,9661.0,7.0,6.0,-16.0,-16.0,3079.0,,,2020-08-23,5697,asmalltwistofsweetfruit
225,225,53ad2f5a46188e43c8b6bef6,1,10000,10000.0,4.301,23719.0,13.0,84.0,85.0,85.0,2592.0,,,2021-12-28,4869,keeptopinternational
226,226,591a999d1a071f7e40e984a4,1,10000,10000.0,4.301,17621.0,16.0,14.0,-14.0,-14.0,3075.0,1.0,100.0,2020-03-12,1693,hotsummerr
227,227,56e7bdeefdc43f585fce9122,1,10000,10000.0,4.308,9981.0,13.0,11.0,-18.0,-18.0,1184.0,,,2021-06-13,7473,seagull
228,228,53f2db3c104dae6bcae0c271,1,10000,10000.0,4.311,230951.0,4.0,4.0,0.0,0.0,2150.0,,,2020-06-06,7193,fantastic_tune
229,229,5577b101429aa92940bc33e7,1,10000,10000.0,4.314,33675.0,6.0,6.0,0.0,0.0,2808.0,1.0,100.0,2020-06-04,7474,hkdachangshengtradelimited
230,230,596c927e94158579f28517e3,1,10000,10000.0,4.322,1659.0,8.0,47.0,83.0,83.0,1631.0,,,2020-11-20,677,thesmallsstore
231,231,5b2604207b94e16c00375350,1,10000,10000.0,4.324,2736.0,6.0,6.0,0.0,0.0,1669.0,,,2021-04-13,580,zhaowenxiang
232,232,59797d8e439a9870104928a1,1,10000,10000.0,4.343,16091.0,9.0,17.0,48.0,48.0,2253.0,,,2020-09-16,1006,qtcjcc03
233,233,565537c7a9a8a4572be0bef5,1,10000,10000.0,4.353,12881.0,17.0,15.0,-13.0,-13.0,3040.0,,,2020-02-03,2449,zhuoyi
234,234,5bd0a13aa8f4bb2739445be4,1,10000,10000.0,4.356,2174765.0,5.66,5.0,-13.0,-13.0,2068.0,,,2021-10-28,3498,simplevalueltd
235,235,58a6971e0e16e97a6636a1b8,1,10000,10000.0,4.395,85562.0,4.66,5.0,7.0,7.0,1594.0,,,2020-03-25,4163,homestuff
236,236,57713183bd6b18740117229d,1,10000,10000.0,4.396,11333.0,3.67,4.0,9.0,9.0,2072.0,,,2020-04-15,3776,kkksport
237,237,585037af728de662411bd39a,2,10000,5000.0,3.775,6876.0,8.5,8.0,-4.0,-4.5,486.0,1.0,50.0,2021-06-09,8198,zanglixia555
238,238,5bde9444a53011739fbde291,2,10000,5000.0,3.818,2127.0,8.5,8.0,-5.0,-5.0,707.0,,,2021-10-20,3729,hzxuch
239,239,5646e6e72a6bdb446aaf6cc8,2,10000,5000.0,3.88,20037.0,11.0,10.0,-10.0,-10.0,402.0,1.0,50.0,2021-10-11,4147,leemin
240,240,58d20e95c7b73b52c9670c22,2,10000,5000.0,4.048,32778.0,5.0,6.0,17.0,17.0,824.0,1.0,50.0,2021-02-18,3449,beautylook
241,241,56c55a76cce1893c1b8a1716,2,10000,5000.0,4.07,5019.0,5.0,8.0,38.0,38.0,747.0,1.0,50.0,2021-02-07,2441,gimi06
242,242,5b658cbebc3b221445ba1440,2,10000,5000.0,4.082,8547.0,7.0,159.0,96.0,96.0,1632.0,1.0,50.0,2020-02-02,3142,pumpkincarriages
243,243,58dceeb2a6d6757401114dfd,2,10000,5000.0,4.106,31916.0,13.0,11.5,-12.0,-12.5,1055.0,,,2021-05-08,2985,persisttree
244,244,599bf53b21064f19ffffc891,2,10000,5000.0,4.124,13127.0,10.0,18.0,30.0,29.5,275.0,1.0,50.0,2021-09-13,1292,longfashionstores
245,245,57fc688ffcd3bb1955cb6f31,2,10000,5000.0,4.217,8242.0,7.0,26.0,74.0,74.0,542.0,1.0,50.0,2020-12-10,2494,ruoqiongshop
246,246,58a6b5d975b8da57c954c719,2,10000,5000.0,4.286,99283.0,4.75,4.5,-4.0,-4.0,749.0,1.0,50.0,2021-12-10,3847,dazzling_store
247,247,5495976a40b3782bc8b3654a,4,8000,2000.0,3.954,73271.0,9.75,11.25,5.0,5.25,563.0,1.0,25.0,2021-05-12,3642,ooww
248,248,5ae296b6cd968d66be12d247,3,7000,2333.0,4.062,3592.0,8.67,24.33,27.0,26.67,266.0,1.0,33.0,2021-03-20,1302,chenqinq
249,249,587f85cbb8038f4cb049c56c,3,7000,2333.0,4.08,50864.0,6.27,14.33,43.0,43.33,432.0,,,2021-01-04,3156,firstcrush
250,250,5ae3d438c1d5187ae0dcea90,3,7000,2333.0,4.147,5042.0,10.33,27.0,36.0,36.33,433.0,,,2020-02-06,1452,pwiuxuus
251,251,571b38e66c39b141b1ad43e1,4,6200,1550.0,3.858,3053.0,5.75,5.5,-3.0,-3.5,137.0,,,2021-09-08,951,lalalafash
252,252,58311e2257e86a1b8863f74c,4,6200,1550.0,3.968,7076.0,8.5,33.0,36.0,35.75,193.0,3.0,75.0,2020-06-30,8604,wangjiangxu
253,253,58a99ceca65ebc504a6ebf1e,4,6020,1505.0,3.966,27175.0,8.95,42.75,37.0,37.0,325.0,1.0,25.0,2021-10-13,4463,longming
