,index,merchant_id,listedproducts,totalunitssold,meanunitssoldperproduct,rating,merchantratingscount,meanproductprices,meanretailprices,averagediscount,meandiscount,meanproductratingscount,totalurgencycount,urgencytextrate,date,sales,merchant_name
326,326,585a8e9a7b78704cd251a232,1,5000,5000.0,4.121,11883.0,5.0,5.0,0.0,0.0,883.0,,,2020-08-25,6697,yuanchentrade
327,327,5878edca3497136a61732df9,1,5000,5000.0,4.131,4921.0,8.0,7.0,-14.0,-14.0,983.0,,,2021-12-30,1452,utoasportsout
328,328,585f9ac5d7d14e4d51c16d4e,1,5000,5000.0,4.135,33705.0,7.0,9.0,23.0,23.0,1169.0,1.0,100.0,2021-06-28,9121,tomaintainagoodmoodisthegoodlife
329,329,543cf22998dc200761d621b2,1,5000,5000.0,4.138,9465.0,5.69,17.0,67.0,67.0,922.0,,,2020-06-05,7787,qianshanlangweigarmentstradingcoltd
330,330,5ae6dab8b125ab6825502d06,1,5000,5000.0,4.146,2293.0,3.73,9.0,59.0,59.0,856.0,,,2021-11-14,2602,yuwenxiu
331,331,5911220e84aaef7ce5d732ef,1,5000,5000.0,4.156,13308.0,6.0,17.0,65.0,65.0,1650.0,,,2020-11-10,2598,sunshine754
332,332,587b63ed3cca004cbd02d7d3,1,5000,5000.0,4.158,6476.0,6.0,38.0,85.0,85.0,1442.0,,,2021-04-24,2715,guangzhouyangguang
333,333,5e673ce450536b05cca259f2,1,5000,5000.0,4.171,602.0,11.0,38.0,72.0,72.0,377.0,,,2020-06-03,8730,zengzhaoti
334,334,59e70d8ceea5c546fa152f42,1,5000,5000.0,4.176,8166.0,8.0,7.0,-14.0,-14.0,917.0,,,2021-08-22,8791,lyxljcktwsjtzwlstore
335,335,56db028b3a9cb801c374b3c6,1,5000,5000.0,4.177,9486.0,6.0,6.0,0.0,0.0,901.0,,,2020-05-21,475,longfashionmail
336,336,57e00221b8115e1061a6f6d0,1,5000,5000.0,4.178,4373.0,8.0,7.0,-14.0,-14.0,957.0,,,2021-05-05,1494,top1toyou
337,337,5a5f153e430b71500d87877c,1,5000,5000.0,4.193,4632.0,8.0,58.0,87.0,87.0,920.0,,,2020-10-12,2747,htaassw
338,338,58f0a6738a60c363c1281d72,1,5000,5000.0,4.193,11680.0,7.0,25.0,72.0,72.0,774.0,,,2021-03-24,4190,anqiyila
339,339,540ec1f21d2d431f2d4b5cb6,1,5000,5000.0,4.2,3532.0,8.0,122.0,94.0,94.0,1355.0,,,2021-08-06,6671,maylin1230
340,340,54236fbbf6d29616559514c9,1,5000,5000.0,4.216,41906.0,8.0,27.0,71.0,71.0,921.0,,,2021-03-22,1920,fengshangtrade
341,341,59538508e81e8a67610d9c8b,1,5000,5000.0,4.226,13075.0,14.0,68.0,80.0,80.0,734.0,,,2020-03-31,4606,summernights
342,342,5ad02d61ccf0c866db06b8c9,1,5000,5000.0,4.228,2114.0,5.69,5.0,-13.0,-13.0,437.0,,,2021-08-19,8000,beihaidaofj
343,343,5a69c113da6ce6220cd14e05,1,5000,5000.0,4.23,8740.0,5.0,5.0,0.0,0.0,667.0,,,2020-03-02,2650,lilianjie
344,344,5435ef5d01c0c057210e6b32,1,5000,5000.0,4.231,228676.0,16.0,34.0,53.0,53.0,1612.0,1.0,100.0,2021-08-27,6483,worlddeal
345,345,5950dd272eac1127e00c4883,1,5000,5000.0,4.232,5985.0,14.0,89.0,85.0,85.0,647.0,,,2021-07-13,9020,skrt
346,346,59e968275d6f342463a6157b,1,5000,5000.0,4.237,24306.0,13.0,68.0,81.0,81.0,1095.0,1.0,100.0,2021-03-21,3440,nacylucy
347,347,56d954c8d30d44338d07e50a,1,5000,5000.0,4.25,4809.0,7.0,22.0,69.0,69.0,797.0,,,2021-04-18,4682,thenicemenfineleathergoods
348,348,58eb0bacd36f081046b7149c,1,5000,5000.0,4.251,2380.0,8.0,7.0,-14.0,-14.0,870.0,,,2020-06-25,7150,shaomengna
349,349,582173d6797f2308a87626e7,1,5000,5000.0,4.252,92654.0,5.65,5.0,-13.0,-13.0,998.0,,,2020-10-17,1546,fashiononmywayup
350,350,5ac0310597223354603de223,1,5000,5000.0,4.253,4610.0,11.0,10.0,-10.0,-10.0,1556.0,,,2021-11-27,3657,jingka
351,351,5576bb43de4a8c24953ae98f,1,5000,5000.0,4.257,23609.0,11.0,10.0,-10.0,-10.0,1183.0,,,2021-07-01,7932,hongkonghaijietradecolimited
352,352,58be241991fd205b2462acc3,1,5000,5000.0,4.261,32386.0,14.0,84.0,84.0,84.0,686.0,,,2020-09-20,3930,zanzeafashion
353,353,53c62f6b46188e177eb57b6d,1,5000,5000.0,4.267,12083.0,16.0,56.0,72.0,72.0,781.0,1.0,100.0,2020-02-20,4350,emilylimited
354,354,59410b5a7c64942ee36dad7a,1,5000,5000.0,4.279,3209.0,8.0,7.0,-14.0,-14.0,894.0,,,2020-10-24,2476,owlzaw
355,355,578e0488ba8cd20e9b1b4a3b,1,5000,5000.0,4.297,13510.0,5.0,5.0,0.0,0.0,1013.0,1.0,100.0,2021-09-01,1622,brucesky
356,356,589ae185ad330a4feb2b6dd5,1,5000,5000.0,4.299,68339.0,8.0,7.0,-14.0,-14.0,2737.0,1.0,100.0,2021-01-11,4881,sweatmoly
357,357,593f5bc925c4f57281c63593,1,5000,5000.0,4.304,4191.0,3.0,17.0,83.0,83.0,788.0,,,2020-10-19,4192,sunsugar
358,358,547bdd648edcfa5656cac810,1,5000,5000.0,4.306,223392.0,2.66,3.0,12.0,12.0,1136.0,,,2021-01-03,2811,maxgoods
359,359,58f6f47891a95f10f0c54b8c,1,5000,5000.0,4.316,92005.0,8.0,7.0,-14.0,-14.0,1512.0,,,2020-11-13,3631,dream_studio
360,360,561921dd9342a274cb448c07,1,5000,5000.0,4.397,1963.0,8.0,17.0,53.0,53.0,907.0,,,2020-03-24,4649,fashionbelts
361,361,5879cca64f3f2e4e79ae70ae,1,5000,5000.0,4.398,12666.0,4.0,26.0,85.0,85.0,825.0,,,2021-05-17,3733,delamareglass
362,362,585a1ec0b357934ca66b1457,1,5000,5000.0,4.465,47476.0,11.0,26.0,58.0,58.0,1571.0,,,2020-06-07,8771,oizen
363,363,59b29ff23eb22a1355606548,1,5000,5000.0,4.471,19184.0,15.0,13.0,-15.0,-15.0,1257.0,,,2021-05-03,4085,aklovers
364,364,545c2b1790c776172b72d5ab,4,4000,1000.0,4.057,47356.0,13.0,11.25,-15.0,-15.0,407.0,2.0,50.0,2020-06-06,9175,bluesky1
365,365,5aa78a0c75599a5bd049d682,5,3200,640.0,4.033,5264.0,9.2,11.0,17.0,16.6,261.0,1.0,20.0,2021-10-13,2207,myunxiaodian
366,366,5ae00dbf67d25c69bcf0251c,4,3100,775.0,4.195,4811.0,11.5,22.75,14.0,13.5,167.0,2.0,50.0,2021-01-25,3952,yuanhuaxiaodaian
367,367,5e5363458cd99e4035bcd1c8,3,3000,1000.0,3.96,703.0,8.62,63.0,86.0,86.33,86.0,1.0,33.0,2021-09-15,3558,cyb654
368,368,56fba259138ef73c2a749a56,6,2400,400.0,3.959,5654.0,3.12,3.33,9.0,8.67,97.0,3.0,50.0,2020-09-26,3079,zuilangmands
369,369,5177b0b63feb620dd802a197,5,2300,460.0,3.79,105015.0,6.83,6.6,1.0,1.0,64.0,2.0,40.0,2021-03-10,3669,maxnina
370,370,5d5256c527752b19063d8c53,5,2300,460.0,3.943,247.0,7.53,6.8,-7.0,-7.0,51.0,2.0,40.0,2020-06-28,9953,alabaostore
371,371,5d4a717070327a03c1e7644e,5,2250,450.0,3.797,3762.0,6.03,7.0,21.0,21.2,34.0,4.0,80.0,2021-12-14,718,dududustore
372,372,5952a218e81e8a4c30b5bbbc,4,2200,550.0,3.957,9470.0,6.37,5.5,-15.0,-15.25,197.0,1.0,25.0,2020-10-21,2649,mayuhiao
373,373,5ae7cee3a71fbf0725de5d43,4,2200,550.0,4.003,2044.0,5.89,21.5,60.0,59.5,84.0,2.0,50.0,2021-09-28,4384,dawtgkaopai
374,374,570e15d2a18a3f5bc5285b9d,3,2100,700.0,3.953,7858.0,6.55,14.67,43.0,43.0,235.0,1.0,33.0,2021-10-16,3038,blessua
375,375,56c6a33fabb774437118cd63,3,2100,700.0,3.965,7936.0,6.0,5.67,-3.0,-3.0,86.0,1.0,33.0,2020-02-05,3556,bazaretsaintfrusquinc81f273ad6c611e5aa81062170e5f359
376,376,5ae29b4e1baafe7c0109c5ae,3,2100,700.0,4.024,3300.0,7.67,25.33,40.0,39.67,151.0,,,2021-05-09,752,longlongchenchen
377,377,58c35950e2de036da9e2b570,3,2100,700.0,4.064,38985.0,9.67,48.0,65.0,65.33,359.0,1.0,33.0,2021-03-16,3754,roserose
378,378,5abb2cf26be8733b5bf6844f,3,2100,700.0,4.117,31138.0,3.53,6.67,48.0,48.33,86.0,1.0,33.0,2021-03-31,4725,lazzyshop
379,379,58259c456ebae74739ecfdc8,3,2100,700.0,4.15,2248.0,9.67,9.0,-6.0,-6.0,249.0,2.0,67.0,2020-10-21,4116,jiayunshop
380,380,5ae93337d204cc177313f242,3,2100,700.0,4.232,4516.0,9.33,20.33,52.0,52.33,87.0,,,2021-03-14,929,huaxianglarou
381,381,5d46d6fd4c78550b43ab8351,2,2000,1000.0,3.476,942.0,8.0,7.0,-14.0,-14.0,86.0,,,2021-02-13,451,wushuangsciense
382,382,5eba4507ad610e0589cab8c3,2,2000,1000.0,3.677,232.0,6.0,10.0,40.0,40.0,87.0,1.0,50.0,2021-01-29,4288,songliling
383,383,565c293d99558d1ed8ae7fb2,2,2000,1000.0,3.81,28295.0,6.9,20.0,56.0,55.5,104.0,,,2020-07-07,5547,yellowstore
384,384,583512a3b63b3b249b0acc46,2,2000,1000.0,3.862,25914.0,6.0,47.0,88.0,88.0,134.0,1.0,50.0,2021-09-06,450,streetstyle
385,385,55d18ce6183a5d103f970011,2,2000,1000.0,3.871,13979.0,5.5,19.0,67.0,67.0,62.0,,,2021-08-21,5166,youngirls
386,386,547d7e413b64451274068583,2,2000,1000.0,3.895,25631.0,5.85,13.0,55.0,55.0,602.0,1.0,50.0,2021-10-16,4158,fashionicon365
387,387,5440e3d7f8abc82cbd97b19c,2,2000,1000.0,3.908,87178.0,11.0,152.0,93.0,93.0,808.0,1.0,50.0,2021-08-04,9393,aqlangweigarmentstradingcoltd
388,388,546d44001280fa3ce1bf80fa,2,2000,1000.0,3.91,20478.0,12.0,17.0,30.0,30.0,103.0,1.0,50.0,2020-09-06,1975,huashucoltd
389,389,566a25e33a698c1f131fd872,2,2000,1000.0,3.949,36913.0,7.5,11.0,30.0,29.5,59.0,1.0,50.0,2020-04-28,4721,cvhart
390,390,5a5c78ee9d0a7b724c6535fa,2,2000,1000.0,3.965,3373.0,9.0,65.0,87.0,87.0,162.0,1.0,50.0,2020-07-18,7133,charmyaner
391,391,5b8e776e2eb51f7a5900a88a,2,2000,1000.0,3.965,1322.0,8.0,7.0,-14.0,-14.0,373.0,1.0,50.0,2021-01-14,1052,zzxia
392,392,5d47dd864f7ba75f53d67c7c,2,2000,1000.0,4.012,1290.0,7.0,50.0,86.0,86.0,49.0,1.0,50.0,2020-10-11,1732,kaiqiangmaoyi
393,393,58fde9517c09181253b0ef86,2,2000,1000.0,4.013,9341.0,7.0,6.0,-16.0,-16.0,245.0,1.0,50.0,2021-09-13,1660,mimily
394,394,58c921126c30436b692b1ead,2,2000,1000.0,4.039,16523.0,11.0,33.5,33.0,33.0,576.0,1.0,50.0,2021-01-27,1812,speedup
395,395,58c910072be00b51c601ccee,2,2000,1000.0,4.057,6715.0,10.0,33.5,35.0,35.0,130.0,1.0,50.0,2020-04-15,3974,bighero
396,396,5adef3559d5e9767b3177472,2,2000,1000.0,4.06,7034.0,9.33,8.5,-6.0,-6.0,295.0,,,2020-07-16,8817,meiximeiyo
397,397,59c7610621064f2f6c8c9fe7,2,2000,1000.0,4.097,2076.0,8.0,7.0,-14.0,-14.0,220.0,,,2020-04-19,1573,dadaclothes
398,398,5d410bd1fe55c814ade29a1c,2,2000,1000.0,4.109,612.0,8.0,7.0,-14.0,-14.0,118.0,1.0,50.0,2020-10-17,20,supershoppingmart
399,399,580f06685250a20783d33e56,2,2000,1000.0,4.151,11900.0,14.0,75.5,82.0,82.0,159.0,,,2021-09-21,3034,saya2016
400,400,548142ac653d51041ac1174f,2,2000,1000.0,4.173,10377.0,5.84,11.0,47.0,47.0,307.0,1.0,50.0,2021-06-09,9672,gettrendy
401,401,5ae56280ddf45b183333ac45,2,2000,1000.0,4.182,3161.0,5.87,36.0,73.0,72.5,163.0,,,2020-07-13,9649,zoushoujintmiao
402,402,5938c5a58e5b2e6601f01c6f,2,2000,1000.0,4.184,6775.0,15.0,68.0,78.0,78.0,546.0,1.0,50.0,2020-01-22,2688,no1fashions
403,403,5abf36d540626a753e8fc18a,2,2000,1000.0,4.288,3883.0,5.0,5.0,0.0,0.0,435.0,1.0,50.0,2021-09-30,2011,huabaoxuanhandicraftshop
404,404,590f2995f3d19c2cba264414,2,2000,1000.0,4.325,2792.0,5.0,5.0,0.0,0.0,31.0,1.0,50.0,2021-01-24,2644,amoyfashion
405,405,5901f6c2a8e3eb2aca4b5559,2,2000,1000.0,4.331,4508.0,12.0,22.0,46.0,45.5,258.0,2.0,100.0,2021-09-17,4882,chaojishanghu
406,406,59aebfa350df6107c1eff8c8,2,2000,1000.0,4.382,13625.0,7.0,30.0,77.0,77.0,179.0,1.0,50.0,2020-02-09,2943,naturalcolor
407,407,5b4028d56385741bff3b9163,2,2000,1000.0,4.391,6187.0,5.87,11.0,47.0,47.0,209.0,1.0,50.0,2021-10-04,4061,happyfeng
408,408,5de0981739adf2a3406bed18,4,1300,325.0,3.729,288.0,10.25,9.0,-13.0,-13.0,101.0,2.0,50.0,2020-09-01,4117,liuyaling66058
409,409,54db03867851097093c0efe7,4,1300,325.0,3.852,8989.0,8.5,7.5,-13.0,-13.5,92.0,1.0,25.0,2020-12-28,4047,福州市仓山区天途文化传播有限公司
410,410,5aab3c8ea6bf7a704caec65c,4,1300,325.0,3.953,17471.0,7.37,6.5,-14.0,-14.25,178.0,1.0,25.0,2021-02-17,1203,
411,411,593fcbd5ff3e807d6a8485ff,4,1300,325.0,4.024,12919.0,7.0,6.25,-7.0,-7.0,22.0,1.0,25.0,2020-03-17,2371,shiyipanpan
412,412,55dc300452a04b658ad68139,3,1200,400.0,3.895,26473.0,8.54,24.0,49.0,48.67,172.0,1.0,33.0,2020-10-17,2795,denasfashion
413,413,58db84154f0c6b53626b73ac,3,1200,400.0,3.917,33855.0,9.26,34.0,53.0,52.67,171.0,,,2021-03-01,4056,sunnygee
414,414,5836e38728f25753fe6af6a8,3,1200,400.0,4.033,45151.0,12.67,11.0,-15.0,-15.0,207.0,1.0,33.0,2020-10-25,2071,rtgh710402e4b24511e6b69106d0c1a90220
415,415,58a6f92596f1bb57c40b0d56,3,1200,400.0,4.048,7627.0,11.22,11.0,2.0,2.0,182.0,1.0,33.0,2021-06-25,6386,wushein
416,416,5700e7eac1bed1088d6cd40a,3,1200,400.0,4.106,7363.0,8.0,9.33,16.0,15.67,103.0,,,2021-04-20,2613,loft415
417,417,5b0b907d59206904541886cf,3,1200,400.0,4.218,514.0,16.0,14.0,-14.0,-14.0,97.0,1.0,33.0,2021-08-11,6362,huangyulanl
418,418,5864767762a1e84ca30df7c9,3,1200,400.0,4.235,26833.0,13.0,93.33,87.0,87.0,210.0,,,2020-05-20,1809,yourvogue
419,419,58b7d6dd3c18975a18817d64,3,1200,400.0,4.277,794.0,9.67,8.67,-12.0,-12.0,60.0,1.0,33.0,2020-11-06,2129,shadesdarker
420,420,594ba69f2eac11550ec111a1,3,1150,383.0,4.039,7676.0,9.28,13.33,35.0,35.0,90.0,,,2021-03-28,4899,theleisurepavilion
421,421,575cfe470551415caa5505b5,3,1150,383.0,4.11,9395.0,6.67,26.33,76.0,75.67,206.0,1.0,33.0,2021-03-29,2033,terbuer
422,422,5aca1225e053885132dc837a,2,1100,550.0,3.736,1452.0,11.5,10.5,-9.0,-9.5,103.0,,,2021-08-23,5860,lovexi
423,423,5d462e58f320403871a78593,2,1100,550.0,3.838,2055.0,7.5,6.5,-15.0,-15.0,93.0,1.0,50.0,2021-02-25,272,chooop
424,424,58aec90823ef726994a323fe,2,1100,550.0,3.867,12134.0,6.46,5.5,-17.0,-17.0,243.0,1.0,50.0,2020-01-03,3298,liminny
425,425,57b58a411f608c02bd6976a4,2,1100,550.0,3.871,5175.0,9.5,8.5,-12.0,-12.0,158.0,,,2020-11-22,4832,云泉
426,426,5e548120207f9d0685eec2ea,2,1100,550.0,3.992,484.0,1.77,5.5,46.0,45.5,62.0,1.0,50.0,2020-01-17,4451,logrenvu
427,427,5d5f4780bd01a83fca39e0db,2,1100,550.0,4.007,1373.0,1.8,25.5,94.0,93.5,22.0,1.0,50.0,2021-10-26,3816,llpp
428,428,5684eae9daaaee26a0fdadba,2,1100,550.0,4.025,47981.0,8.0,29.5,67.0,67.0,229.0,,,2020-12-22,3081,unnistore
429,429,5d40ffe372b0c94d00f6c1f0,2,1100,550.0,4.039,1559.0,5.35,5.0,-4.0,-4.0,109.0,1.0,50.0,2021-06-04,9588,nmgyusj
430,430,5a9e3a01ccf0c80c2d372870,2,1100,550.0,4.054,9857.0,5.33,5.0,-6.0,-6.5,131.0,1.0,50.0,2021-11-26,4947,wisetqw
431,431,556425de56aea60ea1d17778,2,1100,550.0,4.094,11401.0,7.0,28.5,40.0,40.0,69.0,1.0,50.0,2020-09-09,1622,常州泽然商贸有限公司
432,432,5808e2beff6c57435af7df2d,2,1100,550.0,4.189,2707.0,4.43,4.5,2.0,1.5,101.0,,,2020-12-25,3846,hcczhiqiang
433,433,583658e928f25754106ae102,2,1100,550.0,4.234,15551.0,14.0,95.5,86.0,85.5,115.0,1.0,50.0,2021-10-09,4820,asyouwill
434,434,556d68d19fb8ca1a0c4d82ee,2,1100,550.0,4.253,104269.0,11.5,87.5,88.0,87.5,375.0,,,2020-06-11,8542,specialforyou_68
435,435,5b29ff427752c84390ed6ecf,2,1050,525.0,4.003,4773.0,8.5,59.0,85.0,85.0,25.0,1.0,50.0,2020-11-19,722,reyoun
436,436,584426309b0f754de95d6b50,1,1000,1000.0,3.583,3809.0,5.0,22.0,78.0,78.0,395.0,,,2020-01-17,4458,yehuihui
437,437,51aff6a38e221e2cafcdc0cb,1,1000,1000.0,3.59,82219.0,9.0,9.0,0.0,0.0,300.0,,,2021-06-01,6821,clothingloves
438,438,5d3d857c0ff7f937558c4dd1,1,1000,1000.0,3.626,265.0,3.87,4.0,4.0,4.0,62.0,1.0,100.0,2021-08-17,8526,zhuanta1e
439,439,5d45349676befe65691dcfbb,1,1000,1000.0,3.681,342.0,12.0,11.0,-9.0,-9.0,286.0,,,2020-11-10,2326,soband
440,440,5d57d3a9cf65030dc331b0b2,1,1000,1000.0,3.683,104.0,11.0,75.0,86.0,86.0,70.0,,,2021-08-26,7092,xmzmall
441,441,5d44f6c68388973d77042d83,1,1000,1000.0,3.703,626.0,11.0,83.0,87.0,87.0,118.0,,,2021-10-10,3334,quanyy25
442,442,5695ee973fa51e32deafd9c9,1,1000,1000.0,3.741,42514.0,8.0,18.0,56.0,56.0,158.0,,,2020-11-11,3311,liifashion
443,443,5b6ec2f2838d931d2fbf7a28,1,1000,1000.0,3.749,6632.0,9.0,48.0,82.0,82.0,135.0,,,2020-03-03,355,oiug56465
444,444,553c93bcd57a0156022b1598,1,1000,1000.0,3.761,18762.0,19.0,17.0,-11.0,-11.0,255.0,,,2020-11-18,112,北京奥悦士科技有限公司
445,445,5ba0fe4673d934503a6cb6ad,1,1000,1000.0,3.766,667.0,11.0,11.0,0.0,0.0,223.0,1.0,100.0,2021-08-24,7372,bumanke003
446,446,5dcb9bb2997e90092d624499,1,1000,1000.0,3.766,821.0,8.0,7.0,-14.0,-14.0,294.0,,,2020-07-25,5904,huaisrysnbedclothes
447,447,5b17df3f012875082bc82048,1,1000,1000.0,3.768,2078.0,11.0,22.0,50.0,50.0,129.0,,,2020-01-22,1024,speedclothes
448,448,559f4066577ce11970f7f7fa,1,1000,1000.0,3.79,21842.0,4.86,8.0,40.0,40.0,115.0,,,2021-06-12,9745,杭州酷仑服饰有限公司
449,449,5d4e91681d9a8e1fcc2fefba,1,1000,1000.0,3.794,383.0,6.0,30.0,80.0,80.0,325.0,,,2021-10-02,2142,abcdyyy
450,450,5d46751876befe56001de246,1,1000,1000.0,3.811,1685.0,7.0,6.0,-16.0,-16.0,46.0,,,2020-03-26,2550,alliswell118
451,451,57d67d2bb1adb8102d39f90f,1,1000,1000.0,3.817,8362.0,11.0,11.0,0.0,0.0,131.0,,,2021-02-11,1973,dadadabao
452,452,56a6d6f9cc46da0df30dd801,1,1000,1000.0,3.82,4924.0,12.0,11.0,-9.0,-9.0,181.0,,,2020-03-14,3740,youlika
453,453,5b8a0074f2858d1c8a032c5a,1,1000,1000.0,3.829,738.0,8.0,7.0,-14.0,-14.0,62.0,,,2020-05-24,1197,csfsegdd
454,454,57b1288be4830507cc9f586a,1,1000,1000.0,3.842,1733.0,11.0,10.0,-10.0,-10.0,410.0,,,2021-05-23,284,demangofashionsports
455,455,5a2bc05fddda8c49398c52fe,1,1000,1000.0,3.845,670.0,6.0,6.0,0.0,0.0,134.0,,,2020-03-16,1604,lianglinglingdian
456,456,57878a7316b28907b9b50131,1,1000,1000.0,3.855,15812.0,6.0,22.0,73.0,73.0,47.0,1.0,100.0,2021-11-05,1978,深圳小商铺
457,457,5440df5815133758cf40f1e3,1,1000,1000.0,3.855,15407.0,12.0,85.0,86.0,86.0,137.0,,,2021-02-04,1218,qslangweigarmentstradingcoltd
458,458,582b156ff6872e749e4d1ad4,1,1000,1000.0,3.857,13814.0,9.0,8.0,-12.0,-12.0,81.0,,,2021-02-14,20,stev5344
459,459,5684ca0f73c0e02989b91cad,1,1000,1000.0,3.858,8197.0,1.0,11.0,91.0,91.0,5.0,,,2020-07-18,6234,floraboutique
460,460,59a54d5eae228e4f11e9c5e0,1,1000,1000.0,3.861,2397.0,12.0,11.0,-9.0,-9.0,928.0,,,2020-06-09,6195,miniwgs
461,461,579f12b73087c40f57abcd3d,1,1000,1000.0,3.864,3727.0,12.0,11.0,-9.0,-9.0,398.0,,,2020-02-02,2293,yanglingling
462,462,57a09a5649c29a34cf282715,1,1000,1000.0,3.876,8433.0,8.0,42.0,81.0,81.0,409.0,,,2020-01-02,4542,markit
463,463,55c89dc93a698c6010edccc4,1,1000,1000.0,3.877,13309.0,6.0,56.0,90.0,90.0,938.0,,,2021-03-28,2825,nalininternational
464,464,589e67aa3205e17175ced38e,1,1000,1000.0,3.878,16085.0,11.0,159.0,94.0,94.0,585.0,,,2020-05-23,2885,xindistore
465,465,5d3be81670327a1a4ffce08e,1,1000,1000.0,3.883,2072.0,3.9,5.0,22.0,22.0,57.0,1.0,100.0,2020-05-27,4600,grocerystory
466,466,56d572b08ec6660796b65705,1,1000,1000.0,3.885,21012.0,8.0,9.0,12.0,12.0,45.0,,,2020-10-04,1004,chillerty
467,467,56efff5017777d430c47b78e,1,1000,1000.0,3.892,870.0,12.0,11.0,-9.0,-9.0,646.0,,,2020-12-24,4378,hehshop
468,468,57a1ac972b6fb2282425b585,1,1000,1000.0,3.893,466.0,8.0,7.0,-14.0,-14.0,152.0,,,2020-03-28,1691,congxiaolong
469,469,56ebb573e652e91f9ca6a674,1,1000,1000.0,3.894,11354.0,15.0,13.0,-15.0,-15.0,854.0,,,2021-08-30,7121,wuanna
470,470,586e70187e94384d6fc17f14,1,1000,1000.0,3.894,28694.0,9.0,9.0,0.0,0.0,238.0,,,2020-01-09,51,memento
471,471,5a20c64d8cf0ed4d57d60471,1,1000,1000.0,3.895,3668.0,11.0,10.0,-10.0,-10.0,85.0,,,2020-05-18,3300,yiludamai
472,472,59f5481068788b25d0a84068,1,1000,1000.0,3.896,1403.0,11.0,10.0,-10.0,-10.0,113.0,,,2021-06-06,7462,zhoupingastore
473,473,5dde67d7801ecf6d4c385348,1,1000,1000.0,3.896,433.0,11.0,10.0,-10.0,-10.0,299.0,,,2021-03-29,3578,chentuyistore
474,474,58d4832721ad9176d0d3d00f,1,1000,1000.0,3.897,3743.0,16.0,59.0,73.0,73.0,222.0,,,2020-03-16,3591,mansocean
475,475,565c1b173a698c769e2be15d,1,1000,1000.0,3.9,4072.0,8.0,25.0,68.0,68.0,220.0,,,2020-03-27,862,masacoltd
476,476,5b21e84a43b3b67a3089b10d,1,1000,1000.0,3.901,892.0,8.0,17.0,53.0,53.0,288.0,,,2020-02-16,4950,anglesusan
477,477,564b2fb5c126a0127af8441e,1,1000,1000.0,3.905,10320.0,5.0,5.0,0.0,0.0,102.0,1.0,100.0,2020-09-06,481,深圳市华衍贸易有限公司
478,478,58d765d6da2852536d7a3fa9,1,1000,1000.0,3.907,1722.0,9.0,8.0,-12.0,-12.0,248.0,,,2020-05-22,3669,mattolivo
479,479,57d64f7bcafd22102c3a5fc2,1,1000,1000.0,3.91,3119.0,2.0,56.0,97.0,97.0,41.0,,,2021-04-06,4408,mclinstore
480,480,575a9d8d6813ab5ceeb09521,1,1000,1000.0,3.912,4136.0,8.0,72.0,89.0,89.0,153.0,,,2021-03-30,490,mayone
481,481,5d43cda683889748193da7c0,1,1000,1000.0,3.931,331.0,7.0,6.0,-16.0,-16.0,68.0,,,2020-01-03,3326,lin626079
482,482,5d5a1171560eca427bf10acb,1,1000,1000.0,3.932,543.0,11.0,10.0,-10.0,-10.0,212.0,,,2020-05-04,1970,smoeyakio
483,483,5b99f68520019041167b0b74,1,1000,1000.0,3.936,17738.0,6.0,6.0,0.0,0.0,352.0,,,2021-05-26,4017,yuandatechnology
484,484,5489a2fe546ead1ec9215829,1,1000,1000.0,3.939,905.0,8.0,34.0,77.0,77.0,429.0,,,2020-05-01,2943,rainytradingcoltd
485,485,56cd7070df108f481ff3e00e,1,1000,1000.0,3.94,16527.0,9.0,9.0,0.0,0.0,129.0,,,2020-12-31,3091,neellery9cd3a918dad411e5bd3a0274b988e369
486,486,5de7a6aa4c9c821f67c14ac3,1,1000,1000.0,3.942,171.0,13.0,19.0,32.0,32.0,151.0,1.0,100.0,2020-06-16,7902,horesenbestwellcomenbin
487,487,5d5b651b283abc16408fff54,1,1000,1000.0,3.942,365.0,1.68,2.0,16.0,16.0,51.0,1.0,100.0,2021-04-27,2191,wowomart
488,488,58fcdd56cdb8e24565cc017e,1,1000,1000.0,3.949,1335.0,15.0,25.0,40.0,40.0,408.0,,,2021-10-05,271,colorfulromance
489,489,55f982b029624842ab599cc3,1,1000,1000.0,3.95,2685.0,6.0,7.0,15.0,15.0,258.0,1.0,100.0,2021-03-05,2660,seeyou
490,490,56961502ca1588618ca6d5fe,1,1000,1000.0,3.951,14780.0,8.0,252.0,97.0,97.0,161.0,,,2021-08-02,8813,legeit
491,491,5e8544bfd69a0ea72d39bc31,1,1000,1000.0,3.959,193.0,2.69,3.0,11.0,11.0,74.0,,,2021-07-10,5836,xiujiestore
492,492,583998c51591454a04a79709,1,1000,1000.0,3.96,40457.0,14.0,12.0,-16.0,-16.0,548.0,1.0,100.0,2021-07-01,8114,mumofson
493,493,5b125148c2586910aba903d6,1,1000,1000.0,3.965,16757.0,7.0,6.0,-16.0,-16.0,601.0,,,2020-06-28,7197,lili1
494,494,5a031e9c9aee09542077d074,1,1000,1000.0,3.967,12763.0,7.0,50.0,86.0,86.0,408.0,1.0,100.0,2020-08-24,8399,llegaiyy
495,495,5857e83a1e95514d46b046dd,1,1000,1000.0,3.97,6457.0,6.0,23.0,74.0,74.0,251.0,,,2021-08-03,6822,thisisapairofeyesthatyoufind
